COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;BARRIO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX
00013200;CALLE;DE;ALAMEDILLA;ALAMEDILLA;02;7;25;33;-;-
00001189;PASEO;DE LAS;ALAMEDILLAS;ALAMEDILLAS;08;6;1;5;2;10
00013400;CALLE;DEL;ALAMILLO;ALAMILLO;01;1;1;1;2;2
00013500;PLAZA;DEL;ALAMILLO;ALAMILLO;01;1;1;11;2;10
00013600;CALLE;DEL;ALAMO;ÁLAMO;01;5;1;9;2;12
31001239;CALLE;DE;ALAN TURING;ALAN TURING;13;4;1;3;-;-
00013900;CALLE;DE;ALANIS;ALANIS;21;4;1;7;2;8
00014000;CALLE;DE;ALAR DEL REY;ALAR DEL REY;21;4;3;41;2;70
00014100;CALLE;DE;ALARICO;ALARICO;11;3;1;57;2;56
00014200;CALLE;DE;ALARO;ALARÓ;21;4;1;21;2;20
00014250;TRAVESIA;DE;ALARO;ALARÓ;21;4;1;9C;2;12
00014300;CALLE;DE LAS;ALAS;ALAS;21;4;19;33;2;30
00014400;CALLE;DEL;ALATERNO;ALATERNO;05;6;-;-;4;4
00014500;CALLE;DE;ALAVA;ÁLAVA;15;1;1;15;2;20
00014600;CALLE;DEL;ALBA;ALBA;16;3;1;21;2;16
00014700;CALLE;DE;ALBA DE TORMES;ALBA DE TORMES;11;5;1;51;2;30
00014750;CALLE;DE;ALBACETE;ALBACETE;15;5;1;7B;2;12
00014800;CALLE;DE;ALBADALEJO;ALBADALEJO;20;1;1;19;2;52
00014900;CALLE;DE LA;ALBAHACA;ALBAHACA;16;1;-;-;2;12
00015050;CALLE;DE;ALBAICIN;ALBAICÍN;12;2;1;19;2;14
00015100;CALLE;DE;ALBAIDA;ALBAIDA;20;2;1;3;6;94
00015200;CALLE;DE;ALBALA;ALBALÁ;20;1;3;17;2;20
00015300;CALLE;DE;ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;13;2;1;13;2;14
00002455;CALLE;DE;ALBANIA;ALBANIA;20;5;1;19;2;8B
00015400;CALLE;DE LA;ALBAÑILERIA;ALBAÑILERÍA;20;4;5;15;2;20
00000983;CALLE;DEL;ALBARDIN;ALBARDÍN;12;6;1;7;2;8
00015500;CALLE;DE;ALBARES DE LA RIBERA;ALBARES DE LA RIBERA;11;5;1;27;2;62
00015600;CALLE;DEL;ALBARICOQUE;ALBARICOQUE;11;6;1;9;2;4
00015700;CALLE;DE;ALBARRACIN;ALBARRACÍN;20;1;1;41;2;60
00015800;CALLE;DE;ALBASANZ;ALBASANZ;20;1;1;81;2;84
00015900;CALLE;DE;ALBATANA;ALBATANA;16;4;1;5;2;6
00016000;CALLE;DEL;ALBATROS;ALBATROS;11;4;1;23;2;20
00016100;CALLE;DE;ALBELDA;ALBELDA;15;6;1;1;2;6
00016200;CALLE;DE;ALBENDIEGO;ALBENDIEGO;06;4;1;25;2;28
00016300;CALLE;DE;ALBENIZ;ALBÉNIZ;10;2;1;9;2;12
00016400;CALLE;DE;ALBENTOSA;ALBENTOSA;11;3;-;-;2;48
00016500;CALLE;DE LA;ALBERCA;ALBERCA;08;2;1;13C;2;8
00016700;CALLE;DEL;ALBERCHE;ALBERCHE;02;7;15;19;4;6
00016700;CALLE;DEL;ALBERCHE;ALBERCHE;03;1;21;21;10;16
00001159;PASAJE;DEL;ALBERCHE;ALBERCHE;03;1;1;1;2;2
00016800;CALLE;DE;ALBERDI;ALBERDI;06;5;1;63;16;52B
00905194;CARRETERA;DEL;ALBERGUE JUVENIL;ALBERGUE JUVENIL;09;1;-;-;2;4
00017100;CALLE;DE;ALBERIQUE;ALBERIQUE;20;3;-;-;10;20
31002035;CALLE;DE;ALBERT CAMUS;ALBERT CAMUS;11;2;-;-;2;6
00017200;CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;01;5;1;39;-;-
00017200;CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;07;1;-;-;40;74
00017200;CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;07;2;-;-;2;38
00017300;AVENIDA;DE;ALBERTO ALCOCER;ALBERTO ALCOCER;05;4;-;-;2;48
00017300;AVENIDA;DE;ALBERTO ALCOCER;ALBERTO ALCOCER;05;5;1;49;-;-
00017400;CALLE;DE;ALBERTO BOSCH;ALBERTO BOSCH;03;5;1;19;2;16
00017550;CALLE;DE;ALBERTO INSUA;ALBERTO INSÚA;08;3;1;13;4;22
00017600;CALLE;DE;ALBERTO LEON PERALTA;ALBERTO LEÓN PERALTA;05;6;1;31;2;28
00017700;CALLE;DE;ALBERTO MARCOS;ALBERTO MARCOS;18;1;1;3;2;6
00017800;CALLE;DE;ALBERTO MARTIN ARTAJO;ALBERTO MARTÍN ARTAJO;04;4;3;3;2;8
00017900;CALLE;DE;ALBERTO PALACIOS;ALBERTO PALACIOS;17;1;1;37;2;22
00018100;PASEO;DE;ALBERTO PALACIOS;ALBERTO PALACIOS;17;1;1;83;2;86
31000678;CALLE;DE;ALBERTO SANCHEZ;ALBERTO SÁNCHEZ;19;1;19;31;14;30
00018200;CALLE;DE;ALBINO HERNANDEZ LAZARO;ALBINO HERNÁNDEZ LÁZARO;17;1;1;37;2;42
00018300;CALLE;DE;ALBOREA;ALBOREA;11;5;1;7;2;6
00018500;CALLE;DE;ALBOX;ALBOX;11;5;1;35;2;22
00018600;AVENIDA;DE LA;ALBUFERA;ALBUFERA;13;2;-;-;6;94
00018600;AVENIDA;DE LA;ALBUFERA;ALBUFERA;13;3;-;-;96;142
00018600;AVENIDA;DE LA;ALBUFERA;ALBUFERA;13;4;279;465;252;438
00018600;AVENIDA;DE LA;ALBUFERA;ALBUFERA;13;5;273;273;144;250I
00018600;AVENIDA;DE LA;ALBUFERA;ALBUFERA;13;6;1;179;-;-
00018750;CALLE;DE;ALBUÑUELAS;ALBUÑUELAS;12;2;11;15;2;38
00018800;CALLE;DE;ALBURQUERQUE;ALBURQUERQUE;07;3;1;33;2;18
00018850;CALLE;DE;ALCACER TEJARES;ALCÁCER TEJARES;19;1;7;13;2;6
00018900;CALLE;DE;ALCALA;ALCALÁ;01;3;23;39;16;48
00018900;CALLE;DE;ALCALA;ALCALÁ;01;4;41;51;-;-
00018900;CALLE;DE;ALCALA;ALCALÁ;01;6;1;21;2;14
00018900;CALLE;DE;ALCALA;ALCALÁ;03;5;-;-;50;60
00018900;CALLE;DE;ALCALA;ALCALÁ;04;1;53;121;62;72
00018900;CALLE;DE;ALCALA;ALCALÁ;04;2;123;195;74;150
00018900;CALLE;DE;ALCALA;ALCALÁ;04;3;-;-;152;206
00018900;CALLE;DE;ALCALA;ALCALÁ;04;4;197;237;-;-
00018900;CALLE;DE;ALCALA;ALCALÁ;15;1;-;-;220;316
00018900;CALLE;DE;ALCALA;ALCALÁ;15;2;-;-;318;412
00018900;CALLE;DE;ALCALA;ALCALÁ;15;3;279;443;-;-
00018900;CALLE;DE;ALCALA;ALCALÁ;15;4;249;277;-;-
00018900;CALLE;DE;ALCALA;ALCALÁ;20;1;-;-;418;550
00018900;CALLE;DE;ALCALA;ALCALÁ;20;5;-;-;676;686
00018900;CALLE;DE;ALCALA;ALCALÁ;20;6;-;-;688;728
00018900;CALLE;DE;ALCALA;ALCALÁ;20;7;567;631;552;674
00018900;CALLE;DE;ALCALA;ALCALÁ;20;8;445;553;-;-
00019100;CALLE;DE;ALCALA DE GUADAIRA;ALCALÁ DE GUADAIRA;13;3;9;73;2;40
00019000;CALLE;DE;ALCALA GALIANO;ALCALÁ GALIANO;07;4;1;7;2;10
00019110;CALLE;DEL;ALCALDE ALFONSO VAZQUEZ;ALCALDE ALFONSO VÁZQUEZ;13;2;-;-;2;4
31000121;CALLE;DEL;ALCALDE ALVAREZ DE VILLAAMIL;ALCALDE ÁLVAREZ DE VILLAAMIL;16;6;1;7;2;4
31001811;CALLE;DEL;ALCALDE ANDRES MADRID DAVILA;ALCALDE ANDRÉS MADRID DÁVILA;19;1;-;-;92;142
31000120;CALLE;DEL;ALCALDE ARISTIZABAL MANCHON;ALCALDE ARISTIZÁBAL MANCHÓN;16;6;1;13;2;6
00019115;PLAZA;DEL;ALCALDE BRELL;ALCALDE BRELL;11;7;1;11;2;10
31000067;AVENIDA;DEL;ALCALDE CONDE DE MAYALDE;ALCALDE CONDE DE MAYALDE;16;6;5;45;12;12
31000119;CALLE;DEL;ALCALDE CONDE DE MIRASOL;ALCALDE CONDE DE MIRASOL;16;6;1;3;2;6G
00019135;CALLE;DEL;ALCALDE GARRIDO JUARISTI;ALCALDE GARRIDO JUARISTI;14;4;1;21;2;26
31000123;CALLE;DEL;ALCALDE HENCHE DE LA PLATA;ALCALDE HENCHE DE LA PLATA;16;6;1;21;2;38
00750950;CALLE;DEL;ALCALDE JUAN DE MATA SEVILLANO;ALCALDE JUAN DE MATA SEVILLANO;19;1;1;19;6;26
00019200;CALLE;DEL;ALCALDE LOPEZ CASERO;ALCALDE LÓPEZ CASERO;15;3;-;-;2;20
00019200;CALLE;DEL;ALCALDE LOPEZ CASERO;ALCALDE LÓPEZ CASERO;15;4;1;15;-;-
00000950;CALLE;DEL;ALCALDE LUIS MARICHALAR;ALCALDE LUIS MARICHALAR;14;4;1;9;2;4
00019210;CALLE;DEL;ALCALDE LUIS SILVELA;ALCALDE LUIS SILVELA;20;6;1;3;2;6
00019250;CALLE;DEL;ALCALDE MARTIN DE ALZAGA;ALCALDE MARTÍN DE ALZAGA;09;4;1;37;2;6
31000118;PLAZA;DEL;ALCALDE MORENO TORRES;ALCALDE MORENO TORRES;16;6;1;23;2;24
31000560;CALLE;DE;ALCALDE PEDRO ESCARBASSIERE;ALCALDE PEDRO ESCARBASSIERE;19;1;5;9;2;16
31001812;CALLE;DEL;ALCALDE PEDRO GUTIERREZ;ALCALDE PEDRO GUTIÉRREZ;19;1;1;123;-;-
31000122;CALLE;DEL;ALCALDE REDONDO ACEÑA;ALCALDE REDONDO ACEÑA;16;6;-;-;2;8
00019300;CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;03;3;67;109;68;90
00019300;CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;03;4;1;65;2;50
00019300;CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;03;6;-;-;52;66
00019300;CALLE;DEL;ALCALDE SAINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;04;3;-;-;92;94
00019301;CALLE;DE LA;ALCANCIA;ALCANCÍA;09;7;1;11;2;12
00019400;CALLE;DE;ALCANTARA;ALCÁNTARA;04;2;1;29;2;28
00019400;CALLE;DE;ALCANTARA;ALCÁNTARA;04;5;31;73;30;82
00019500;CALLE;DE;ALCAÑICES;ALCAÑICES;20;4;1;7;-;-
00019600;CALLE;DE;ALCAÑIZ;ALCAÑIZ;21;4;5;23;2;44
00019700;CALLE;DEL;ALCARAVAN;ALCARAVÁN;10;1;1;13;2;10
00019800;CALLE;DE;ALCARAZ;ALCARAZ;16;4;3;3;2;34
00019900;CALLE;DE LA;ALCARRIA;ALCARRIA;17;5;-;-;4;8
00020000;CALLE;DEL;ALCATRAZ;ALCATRAZ;11;2;1;31;2;44
00020100;PLAZA;DE;ALCAUDETE;ALCAUDETE;16;4;29;1651;30;1652
00020200;CALLE;DEL;ALCAUDON;ALCAUDÓN;11;3;1;49;2;68
00020250;CALLE;DE LA;ALCAZABA;ALCAZABA;12;3;1;7;2;6
00020300;CALLE;DE;ALCAZAR DE SAN JUAN;ALCÁZAR DE SAN JUAN;10;2;1;25;2;16
00759800;CALLE;DE;ALCION;ALCIÓN;11;3;1;31;2;34
00020400;PLAZA;DE;ALCIRA;ALCIRA;09;4;1;21;2;20
